Subject e,,Condition: reference present
Delta,Estimate,Coherence
-12.5,-18,0.25
-12.5,-14,0.25
-11.5,-25,0.25
-11.5,-16,0.25
-11.5,-9,0.25
-10.5,-17,0.25
-10.5,7,0.25
-10.5,-10,0.25
-10.5,-16,0.25
-9.5,-13,0.25
-9.5,-12,0.25
-9.5,-23,0.25
-9.5,-10,0.25
-9.5,-18,0.25
-9.5,-13,0.25
-8.5,-24,0.25
-8.5,-10,0.25
-8.5,-12,0.25
-8.5,8,0.25
-8.5,-10,0.25
-7.5,-13,0.25
-7.5,-11,0.25
-7.5,-26,0.25
-7.5,-12,0.25
-7.5,-11,0.25
-6.5,-13,0.25
-6.5,11,0.25
-6.5,-10,0.25
-5.5,17,0.25
-5.5,-10,0.25
-5.5,-12,0.25
-5.5,-10,0.25
-5.5,-16,0.25
-5.5,-12,0.25
-5.5,-10,0.25
-4.5,-12,0.25
-3.5,-8,0.25
-3.5,-10,0.25
-2.5,-12,0.25
-2.5,-12,0.25
-2.5,10,0.25
-2.5,-7,0.25
-2.5,-13,0.25
-1.5,-10,0.25
-1.5,9,0.25
-1.5,-7,0.25
-1.5,10,0.25
-1.5,-7,0.25
-1.5,16,0.25
-1.5,-10,0.25
-1.5,-7,0.25
-0.5,6,0.25
-0.5,-9,0.25
-0.5,8,0.25
-0.5,10,0.25
-0.5,11,0.25
-0.5,11,0.25
0.5,7,0.25
0.5,-3,0.25
0.5,7,0.25
1.5,10,0.25
1.5,12,0.25
1.5,6,0.25
1.5,-12,0.25
1.5,6,0.25
2.5,-8,0.25
2.5,-16,0.25
2.5,8,0.25
3.5,-10,0.25
3.5,11,0.25
3.5,8,0.25
4.5,10,0.25
4.5,6,0.25
4.5,7,0.25
4.5,9,0.25
5.5,14,0.25
5.5,10,0.25
5.5,4,0.25
5.5,-9,0.25
5.5,20,0.25
5.5,15,0.25
6.5,11,0.25
6.5,5,0.25
6.5,-15,0.25
6.5,10,0.25
7.5,17,0.25
8.5,14,0.25
8.5,38,0.25
8.5,11,0.25
8.5,-12,0.25
8.5,7,0.25
8.5,10,0.25
8.5,7,0.25
9.5,12,0.25
9.5,11,0.25
9.5,12,0.25
10.5,16,0.25
10.5,8,0.25
11.5,13,0.25
11.5,10,0.25
11.5,15,0.25
11.5,7,0.25
11.5,12,0.25
11.5,8,0.25
11.5,11,0.25
12.5,17,0.25
13.5,13,0.25
14.5,10,0.25
14.5,10,0.25
14.5,27,0.25
14.5,8,0.25
14.5,14,0.25
15.5,21,0.25
15.5,-23,0.25
15.5,14,0.25
15.5,12,0.25
16.5,11,0.25
16.5,12,0.25
16.5,10,0.25
17.5,15,0.25
17.5,8,0.25
17.5,36,0.25
17.5,15,0.25
17.5,11,0.25
18.5,26,0.25
19.5,15,0.25
19.5,15,0.25
19.5,16,0.25
20.5,22,0.25
20.5,18,0.25
20.5,21,0.25
21.5,13,0.25
21.5,10,0.25
21.5,17,0.25
22.5,11,0.25
22.5,13,0.25
22.5,21,0.25
22.5,19,0.25
23.5,22,0.25
23.5,21,0.25
23.5,19,0.25
24.5,23,0.25
24.5,16,0.25
24.5,25,0.25
