Subject c,,Condition: reference absent
Delta,Estimate,Coherence
16.5,19,0.25
16.5,20,0.25
16.5,27,0.25
16.5,25,0.25
16.5,20,0.25
17.5,20,0.25
17.5,23,0.25
17.5,29,0.25
18.5,25,0.25
18.5,26,0.25
18.5,33,0.25
19.5,20,0.25
20.5,36,0.25
20.5,28,0.25
21.5,28,0.25
21.5,26,0.25
21.5,17,0.25
22.5,21,0.25
22.5,34,0.25
22.5,32,0.25
22.5,35,0.25
22.5,37,0.25
23.5,44,0.25
24.5,31,0.25
24.5,40,0.25
24.5,35,0.25
24.5,38,0.25
24.5,38,0.25
